length,surface,volume
819,4024566,549353259
820,4034400,551368000
821,4044246,553387661
822,4054104,555412248
823,4063974,557441767
824,4073856,559476224
825,4083750,561515625
826,4093656,563559976
827,4103574,565609283
828,4113504,567663552
829,4123446,569722789
830,4133400,571787000
831,4143366,573856191
832,4153344,575930368
833,4163334,578009537
834,4173336,580093704
835,4183350,582182875
836,4193376,584277056
837,4203414,586376253
838,4213464,588480472
839,4223526,590589719
840,4233600,592704000
841,4243686,594823321
842,4253784,596947688
843,4263894,599077107
844,4274016,601211584
845,4284150,603351125
846,4294296,605495736
847,4304454,607645423
848,4314624,609800192
849,4324806,611960049
850,4335000,614125000
851,4345206,616295051
852,4355424,618470208
853,4365654,620650477
854,4375896,622835864
855,4386150,625026375
856,4396416,627222016
857,4406694,629422793
858,4416984,631628712
859,4427286,633839779
860,4437600,636056000
861,4447926,638277381
862,4458264,640503928
863,4468614,642735647
864,4478976,644972544
865,4489350,647214625
866,4499736,649461896
867,4510134,651714363
868,4520544,653972032
869,4530966,656234909
870,4541400,658503000
871,4551846,660776311
872,4562304,663054848
873,4572774,665338617
874,4583256,667627624
875,4593750,669921875
876,4604256,672221376
877,4614774,674526133
878,4625304,676836152
879,4635846,679151439
880,4646400,681472000
881,4656966,683797841
882,4667544,686128968
883,4678134,688465387
884,4688736,690807104
885,4699350,693154125
886,4709976,695506456
887,4720614,697864103
888,4731264,700227072
889,4741926,702595369
890,4752600,704969000
891,4763286,707347971
892,4773984,709732288
893,4784694,712121957
894,4795416,714516984
895,4806150,716917375
896,4816896,719323136
897,4827654,721734273
898,4838424,724150792
899,4849206,726572699
900,4860000,729000000
901,4870806,731432701
902,4881624,733870808
903,4892454,736314327
904,4903296,738763264
905,4914150,741217625
906,4925016,743677416
907,4935894,746142643
908,4946784,748613312
909,4957686,751089429
910,4968600,753571000
911,4979526,756058031
912,4990464,758550528
913,5001414,761048497
914,5012376,763551944
915,5023350,766060875
916,5034336,768575296
917,5045334,771095213
918,5056344,773620632
919,5067366,776151559
920,5078400,778688000
921,5089446,781229961
922,5100504,783777448
923,5111574,786330467
924,5122656,788889024
925,5133750,791453125
926,5144856,794022776
927,5155974,796597983
928,5167104,799178752
929,5178246,801765089
930,5189400,804357000
931,5200566,806954491
932,5211744,809557568
933,5222934,812166237
934,5234136,814780504
935,5245350,817400375
936,5256576,820025856
937,5267814,822656953
938,5279064,825293672
939,5290326,827936019
940,5301600,830584000
941,5312886,833237621
942,5324184,835896888
943,5335494,838561807
944,5346816,841232384
945,5358150,843908625
946,5369496,846590536
947,5380854,849278123
948,5392224,851971392
949,5403606,854670349
950,5415000,857375000
951,5426406,860085351
952,5437824,862801408
953,5449254,865523177
954,5460696,868250664
955,5472150,870983875
956,5483616,873722816
957,5495094,876467493
958,5506584,879217912
959,5518086,881974079
960,5529600,884736000
961,5541126,887503681
962,5552664,890277128
963,5564214,893056347
964,5575776,895841344
965,5587350,898632125
966,5598936,901428696
967,5610534,904231063
968,5622144,907039232
969,5633766,909853209
970,5645400,912673000
971,5657046,915498611
972,5668704,918330048
973,5680374,921167317
974,5692056,924010424
975,5703750,926859375
976,5715456,929714176
977,5727174,932574833
978,5738904,935441352
979,5750646,938313739
980,5762400,941192000
981,5774166,944076141
982,5785944,946966168
983,5797734,949862087
984,5809536,952763904
985,5821350,955671625
986,5833176,958585256
987,5845014,961504803
988,5856864,964430272
989,5868726,967361669
990,5880600,970299000
991,5892486,973242271
992,5904384,976191488
993,5916294,979146657
994,5928216,982107784
995,5940150,985074875
996,5952096,988047936
997,5964054,991026973
998,5976024,994011992
999,5988006,997002999
1000,6000000,1000000000
1001,6012006,1003003001
1002,6024024,1006012008
1003,6036054,1009027027
1004,6048096,1012048064
1005,6060150,1015075125
1006,6072216,1018108216
1007,6084294,1021147343
1008,6096384,1024192512
1009,6108486,1027243729
1010,6120600,1030301000
1011,6132726,1033364331
1012,6144864,1036433728
1013,6157014,1039509197
1014,6169176,1042590744
1015,6181350,1045678375
1016,6193536,1048772096
1017,6205734,1051871913
1018,6217944,1054977832
1019,6230166,1058089859
1020,6242400,1061208000
1021,6254646,1064332261
1022,6266904,1067462648
1023,6279174,1070599167
1024,6291456,1073741824
1025,6303750,1076890625
1026,6316056,1080045576
1027,6328374,1083206683
1028,6340704,1086373952
1029,6353046,1089547389
1030,6365400,1092727000
1031,6377766,1095912791
1032,6390144,1099104768
1033,6402534,1102302937
1034,6414936,1105507304
1035,6427350,1108717875
1036,6439776,1111934656
1037,6452214,1115157653
1038,6464664,1118386872
1039,6477126,1121622319
1040,6489600,1124864000
1041,6502086,1128111921
1042,6514584,1131366088
1043,6527094,1134626507
1044,6539616,1137893184
1045,6552150,1141166125
1046,6564696,1144445336
1047,6577254,1147730823
1048,6589824,1151022592
1049,6602406,1154320649
1050,6615000,1157625000
1051,6627606,1160935651
1052,6640224,1164252608
1053,6652854,1167575877
1054,6665496,1170905464
1055,6678150,1174241375
1056,6690816,1177583616
1057,6703494,1180932193
1058,6716184,1184287112
1059,6728886,1187648379
1060,6741600,1191016000
1061,6754326,1194389981
1062,6767064,1197770328
1063,6779814,1201157047
1064,6792576,1204550144
1065,6805350,1207949625
1066,6818136,1211355496
1067,6830934,1214767763
1068,6843744,1218186432
1069,6856566,1221611509
1070,6869400,1225043000
1071,6882246,1228480911
1072,6895104,1231925248
1073,6907974,1235376017
1074,6920856,1238833224
1075,6933750,1242296875
1076,6946656,1245766976
1077,6959574,1249243533
1078,6972504,1252726552
1079,6985446,1256216039
1080,6998400,1259712000
1081,7011366,1263214441
1082,7024344,1266723368
1083,7037334,1270238787
1084,7050336,1273760704
1085,7063350,1277289125
1086,7076376,1280824056
1087,7089414,1284365503
1088,7102464,1287913472
1089,7115526,1291467969
1090,7128600,1295029000
1091,7141686,1298596571
1092,7154784,1302170688
1093,7167894,1305751357
1094,7181016,1309338584
1095,7194150,1312932375
1096,7207296,1316532736
1097,7220454,1320139673
1098,7233624,1323753192
1099,7246806,1327373299
1100,7260000,1331000000
1101,7273206,1334633301
1102,7286424,1338273208
1103,7299654,1341919727
1104,7312896,1345572864
1105,7326150,1349232625
1106,7339416,1352899016
1107,7352694,1356572043
1108,7365984,1360251712
1109,7379286,1363938029
1110,7392600,1367631000
1111,7405926,1371330631
1112,7419264,1375036928
1113,7432614,1378749897
1114,7445976,1382469544
1115,7459350,1386195875
1116,7472736,1389928896
1117,7486134,1393668613
1118,7499544,1397415032
1119,7512966,1401168159
1120,7526400,1404928000
1121,7539846,1408694561
1122,7553304,1412467848
1123,7566774,1416247867
1124,7580256,1420034624
1125,7593750,1423828125
1126,7607256,1427628376
1127,7620774,1431435383
1128,7634304,1435249152
1129,7647846,1439069689
1130,7661400,1442897000
1131,7674966,1446731091
1132,7688544,1450571968
1133,7702134,1454419637
1134,7715736,1458274104
1135,7729350,1462135375
1136,7742976,1466003456
1137,7756614,1469878353
1138,7770264,1473760072
1139,7783926,1477648619
1140,7797600,1481544000
1141,7811286,1485446221
1142,7824984,1489355288
1143,7838694,1493271207
1144,7852416,1497193984
1145,7866150,1501123625
1146,7879896,1505060136
1147,7893654,1509003523
1148,7907424,1512953792
1149,7921206,1516910949
1150,7935000,1520875000
1151,7948806,1524845951
1152,7962624,1528823808
1153,7976454,1532808577
1154,7990296,1536800264
1155,8004150,1540798875
1156,8018016,1544804416
1157,8031894,1548816893
1158,8045784,1552836312
1159,8059686,1556862679
1160,8073600,1560896000
1161,8087526,1564936281
1162,8101464,1568983528
1163,8115414,1573037747
1164,8129376,1577098944
1165,8143350,1581167125
1166,8157336,1585242296
1167,8171334,1589324463
1168,8185344,1593413632
1169,8199366,1597509809
1170,8213400,1601613000
1171,8227446,1605723211
1172,8241504,1609840448
1173,8255574,1613964717
1174,8269656,1618096024
1175,8283750,1622234375
1176,8297856,1626379776
1177,8311974,1630532233
1178,8326104,1634691752
1179,8340246,1638858339
1180,8354400,1643032000
1181,8368566,1647212741
1182,8382744,1651400568
1183,8396934,1655595487
1184,8411136,1659797504
1185,8425350,1664006625
1186,8439576,1668222856
1187,8453814,1672446203
1188,8468064,1676676672
1189,8482326,1680914269
1190,8496600,1685159000
1191,8510886,1689410871
1192,8525184,1693669888
1193,8539494,1697936057
1194,8553816,1702209384
1195,8568150,1706489875
1196,8582496,1710777536
1197,8596854,1715072373
1198,8611224,1719374392
1199,8625606,1723683599
1200,8640000,1728000000
1201,8654406,1732323601
1202,8668824,1736654408
1203,8683254,1740992427
1204,8697696,1745337664
1205,8712150,1749690125
1206,8726616,1754049816
1207,8741094,1758416743
1208,8755584,1762790912
1209,8770086,1767172329
1210,8784600,1771561000
1211,8799126,1775956931
1212,8813664,1780360128
1213,8828214,1784770597
1214,8842776,1789188344
1215,8857350,1793613375
1216,8871936,1798045696
1217,8886534,1802485313
1218,8901144,1806932232
1219,8915766,1811386459
1220,8930400,1815848000
1221,8945046,1820316861
1222,8959704,1824793048
1223,8974374,1829276567
1224,8989056,1833767424
1225,9003750,1838265625
1226,9018456,1842771176
1227,9033174,1847284083
1228,9047904,1851804352
1229,9062646,1856331989
1230,9077400,1860867000
1231,9092166,1865409391
1232,9106944,1869959168
1233,9121734,1874516337
1234,9136536,1879080904
1235,9151350,1883652875
1236,9166176,1888232256
1237,9181014,1892819053
1238,9195864,1897413272
1239,9210726,1902014919
1240,9225600,1906624000
1241,9240486,1911240521
1242,9255384,1915864488
1243,9270294,1920495907
1244,9285216,1925134784
1245,9300150,1929781125
1246,9315096,1934434936
1247,9330054,1939096223
1248,9345024,1943764992
1249,9360006,1948441249
1250,9375000,1953125000
1251,9390006,1957816251
1252,9405024,1962515008
1253,9420054,1967221277
1254,9435096,1971935064
1255,9450150,1976656375
1256,9465216,1981385216
1257,9480294,1986121593
1258,9495384,1990865512
1259,9510486,1995616979
1260,9525600,2000376000
1261,9540726,2005142581
1262,9555864,2009916728
1263,9571014,2014698447
1264,9586176,2019487744
1265,9601350,2024284625
1266,9616536,2029089096
1267,9631734,2033901163
1268,9646944,2038720832
1269,9662166,2043548109
1270,9677400,2048383000
1271,9692646,2053225511
1272,9707904,2058075648
1273,9723174,2062933417
1274,9738456,2067798824
1275,9753750,2072671875
1276,9769056,2077552576
1277,9784374,2082440933
1278,9799704,2087336952
1279,9815046,2092240639
1280,9830400,2097152000
1281,9845766,2102071041
1282,9861144,2106997768
1283,9876534,2111932187
1284,9891936,2116874304
1285,9907350,2121824125
1286,9922776,2126781656
1287,9938214,2131746903
1288,9953664,2136719872
1289,9969126,2141700569
1290,9984600,2146689000
1291,10000086,2151685171
1292,10015584,2156689088
1293,10031094,2161700757
1294,10046616,2166720184
1295,10062150,2171747375
1296,10077696,2176782336
1297,10093254,2181825073
1298,10108824,2186875592
1299,10124406,2191933899
1300,10140000,2197000000
1301,10155606,2202073901
1302,10171224,2207155608
1303,10186854,2212245127
1304,10202496,2217342464
1305,10218150,2222447625
1306,10233816,2227560616
1307,10249494,2232681443
1308,10265184,2237810112
1309,10280886,2242946629
1310,10296600,2248091000
1311,10312326,2253243231
1312,10328064,2258403328
1313,10343814,2263571297
1314,10359576,2268747144
1315,10375350,2273930875
1316,10391136,2279122496
1317,10406934,2284322013
1318,10422744,2289529432
1319,10438566,2294744759
1320,10454400,2299968000
1321,10470246,2305199161
1322,10486104,2310438248
1323,10501974,2315685267
1324,10517856,2320940224
1325,10533750,2326203125
1326,10549656,2331473976
1327,10565574,2336752783
1328,10581504,2342039552
1329,10597446,2347334289
1330,10613400,2352637000
1331,10629366,2357947691
1332,10645344,2363266368
1333,10661334,2368593037
1334,10677336,2373927704
1335,10693350,2379270375
1336,10709376,2384621056
1337,10725414,2389979753
1338,10741464,2395346472
1339,10757526,2400721219
1340,10773600,2406104000
1341,10789686,2411494821
1342,10805784,2416893688
1343,10821894,2422300607
1344,10838016,2427715584
1345,10854150,2433138625
1346,10870296,2438569736
1347,10886454,2444008923
1348,10902624,2449456192
1349,10918806,2454911549
1350,10935000,2460375000
1351,10951206,2465846551
1352,10967424,2471326208
1353,10983654,2476813977
1354,10999896,2482309864
1355,11016150,2487813875
1356,11032416,2493326016
1357,11048694,2498846293
1358,11064984,2504374712
1359,11081286,2509911279
1360,11097600,2515456000
1361,11113926,2521008881
1362,11130264,2526569928
1363,11146614,2532139147
1364,11162976,2537716544
1365,11179350,2543302125
1366,11195736,2548895896
1367,11212134,2554497863
1368,11228544,2560108032
1369,11244966,2565726409
1370,11261400,2571353000
1371,11277846,2576987811
1372,11294304,2582630848
1373,11310774,2588282117
1374,11327256,2593941624
1375,11343750,2599609375
